Research name,Publication Title,Author List,Conf/Journal Details,Year,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Alan F. Smeaton,Ethics of AAL for people with dementia.,"Novitzky, Peter, Chen, Cynthia, Gordijn, Bert, O'Mathúna, Dónal, Ó Brolcháin, Fiachra, Jacquemard, Tim, Irving, Kate, Smeaton, Alan F.","Insight Student Conference (INSIGHT-SC 2014), 12 Sept 2014, UCD, Dublin, Ireland.",2014,,,Conference or Workshop Item (Poster),Conference,Yes,,,,Computer Science > Lifelog. Medical Sciences > Nursing. Computer Science > Information retrieval. ,DCU Faculties and Schools > Faculty of Science and Health > School of Nursing and Human Sciences. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,20613,09 Jun 2015 10:47 by  Kevin Fraser. Last Modified 31 Oct 2018 12:31,,,,,SFI Grant Number 12/RC/2289,,,
Alan F. Smeaton,Predicting “At Risk” students from log data.,"Smeaton, Alan F., Smyth, Sinead, Corrigan, Owen, Brennan, John, Egan, Ely","Insight Student Conference (INSIGHT-SC 2014), 12 Sept 2014, UCD, Dublin, Ireland.",2014,,,Conference or Workshop Item (Poster),Conference,Yes,,,,Social Sciences > Adult education. Computer Science > Machine learning. Social Sciences > Communication. Computer Science > Information retrieval. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,20615,25 May 2015 11:08 by  Kevin Fraser. Last Modified 13 Aug 2020 15:16,,,,,SFI Grant Number 12/RC/2289,,,
Alan F. Smeaton,"TRECVID 2010 – An overview of the goals, tasks, data, evaluation mechanisms, and metrics.","Over, Paul, Awad, George M., Fiscus, Jon, Antonishek, Brian, Michel, Martial, Smeaton, Alan F., Kraaij, Wessel, Quénot, Georges","TRECVid 2010, 15-17 November 2010, Gaithersburg, Md., USA.",2011,,,Conference or Workshop Item (Paper),Workshop,Yes,,,TRECVID,Computer Science > Multimedia systems. Computer Science > Information retrieval. Computer Science > Digital video. Computer Science > Image processing. ,Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,16306,28 Apr 2011 14:17 by  Alan Smeaton. Last Modified 19 Jul 2018 14:53,Proceedings of TRECVid 2010..  National Institute of Standards and Tchnology.,National Institute of Standards and Tchnology,http://www-nlpir.nist.gov/projects/tvpubs/tv.pubs.org.html,,Science Foundation Ireland,,,
Alan F. Smeaton,TRECVid 2010 experiments at Dublin City University.,"Foley, Colum, Guo, Jinlin, Scott, David, Ferguson, Paul, Gurrin, Cathal, Smeaton, Alan F.","TRECVid 2010, 15-17 Nov 2010, Gaithersburg, Maryland.",2010,,,Conference or Workshop Item (Speech),Workshop,Yes,,,information retrieval; coarse-to-fine search,Computer Science > Machine learning. Computer Science > Multimedia systems. Computer Science > Digital video. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,17531,02 Oct 2012 14:04 by  Jinlin Guo. Last Modified 31 Oct 2018 13:27,,,,,,,,
Alan F. Smeaton,"Presentations and demos of the ""Curiosity Cloning"" project.","Izzo, Dario, Ampatzis, Christos, Ruciński, Marek, Ebrahimi, Touradj, Yazdani, Ashkan, Ha-Minh, Thien, Dufaux, Frédéric, Smeaton, Alan F., Wilkins, Peter, Healy, Graham","Workshop on Brain Machine Interfaces for Space Applications: Enhancing Astronaut Capabilities, 30 November 2009, European Space Agency, Noordwijk (The Netherlands).",2009,,,Conference or Workshop Item (Lecture),Workshop,No,,,brain computer interfaces (BCI);,Computer Science > Image processing,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,15031,21 Dec 2009 13:46 by  Alan Smeaton. Last Modified 11 Oct 2018 08:57,,,http://www.esa.int/gsp/ACT/bng/op/BMI_Workshop/programme.htm,,"Science Foundation Ireland, European Space Agency, Advanced Concepts Team",Alan.smeaton@dcu.ie,,
Alan F. Smeaton,Semantic analysis of field sports video using a petri-net of audio-visual concepts.,"Liang, Bai, Lao, Songyang, Smeaton, Alan F., O'Connor, Noel E., Sadlier, David A., Sinclair, David","The Computer Journal, 52 (7). pp. 808-823",2009,,0010-4620,Article (Published),,Yes,,,sports video; summarisation;,Computer Science > Multimedia systems. Computer Science > Digital video. Computer Science > Algorithms. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,15013,20 Nov 2009 16:31 by  Alan Smeaton. Last Modified 08 Nov 2018 16:02,,Oxford University Press,http://dx.doi.org/10.1093/comjnl/bxn058,,Science Foundation Ireland,,,
Alan F. Smeaton,High-level feature detection from video in TRECVid: a 5-year retrospective of achievements.,"Smeaton, Alan F., Over, Paul, Kraaij, Wessel","Divakaran, Ajay, (ed.) Multimedia Content Analysis: Theory and Applications. Springer series on Signals and Communication Technology . Springer US, Norwell, MA 02061, USA, pp. 151-174",2009,978-0-387-76567-9,,Book Section,,Yes,,,Semantic Concepts; video indexing;,Computer Science > Multimedia systems. Computer Science > Image processing. Computer Science > Digital video. ,Research Initiatives and Centres > Centre for Digital Video Processing (CDVP). Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,2230,06 Jan 2009 11:33 by  Alan Smeaton. Last Modified 19 Jul 2018 14:42,,Springer US,http://dx.doi.org/10.1007/978-0-387-76569-3_6,© Springer 2009,Science Foundation Ireland,,,
Alan F. Smeaton,PANEL: Challenges for multimedia/multimodal research in the next decade.,"Chang, Shih-Fu, Morency, L.P., Hauptmann, Alexander, Del Bimbo, Alberto, Gurrin, Cathal, Hung, Haley, Heng, Ji, Smeaton, Alan F.","27th ACM International Conference on Multimedia, 21–25 Oct 2019, Nice, France",2019,978-1-4503-6889-6,,Conference or Workshop Item (Paper),Conference,No,,,"Multimedia research; long-term outlook; future challenges and
opportunities.",Computer Science > Image processing. Computer Science > Information retrieval. Computer Science > Multimedia systems. Computer Science > Digital video. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24198,10 Feb 2020 16:52 by  Cathal Gurrin. Last Modified 02 Sep 2020 17:01,MM '19: Proceedings of the 27th ACM International Conference on Multimedia..  Association for Computing Machinery. ISBN 978-1-4503-6889-6,Association for Computing Machinery,https://doi.org/10.1145/3343031.3351494,© 2019 The Authors,National Science Foundation for its support of this effort under Grant No. IIS1735591,,,
Alan F. Smeaton,Identifying the impact of friends on their peers academic performance.,"Scanlon, Philip, Smeaton, Alan F.","The 2016 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, 18 Aug 2016, San Francisco, CA..",2016,,,Conference or Workshop Item (Poster),Conference,No,,,Data analytics,Social Sciences > Education. Social Sciences > Sociology. Computer Science > Machine learning. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,21287,26 Jul 2016 12:55 by  Philip Scanlon. Last Modified 31 Oct 2018 11:38,,,,,,,,
Alan F. Smeaton,Predicting peer group effects on University exam results.,"Scanlon, Philip, Smeaton, Alan F.","EventInsight Student Conference (INSIGHT-SC 2015), 30 Oct 2015, NUIG, Galway, Ireland.",2015,,,Conference or Workshop Item (Poster),Conference,Yes,,,,Computer Science > Machine learning. Social Sciences > Educational technology. Computer Science > Information retrieval. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,21212,11 May 2016 10:23 by  Philip Scanlon. Last Modified 31 Oct 2018 11:46,,,,,This project has been funded by Science Foundation Ireland (SFI) under Grant Number SFI/12/RC/2289,,,
Alan F. Smeaton,Predicting topographical and sociological information patterns from building access logs.,"Scanlon, Philip, Smeaton, Alan F.","EventInsight Student Conference (INSIGHT-SC 2015), 30 Oct 2015, NUIG, Galway, Ireland.",2015,,,Conference or Workshop Item (Poster),Conference,Yes,,,,Computer Science > Information technology. Business > Workplace stress. Computer Science > Information retrieval. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,21213,11 May 2016 10:26 by  Philip Scanlon. Last Modified 31 Oct 2018 11:47,,,,,This project has been funded by Science Foundation Ireland (SFI) under Grant Number SFI/12/RC/2289,,,
Alan F. Smeaton,Pattern detection in lifelog data.,"Hu, Feiyan, Smeaton, Alan F., Newman, Eamonn, Gurrin, Cathal","Insight Student Conference, 12 Sep 2014, UCD, Dublin, Ireland.",2014,,,Conference or Workshop Item (Poster),Conference,Yes,,,,Computer Science > Lifelog. Engineering > Signal processing. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,20263,23 Oct 2014 09:59 by  Feiyan Hu. Last Modified 11 Oct 2018 12:51,,,,,,,,
Monica Ward,Cross-lingual transfer parsing for low-resourced languages: an Irish case study.,"Lynn, Teresa, Foster, Jennifer, Dras, Mark, Tounsi, Lamia","First Celtic Language Technology Workshop, 23 Aug 2014, Dublin, Ireland.",2014,,,Conference or Workshop Item (Paper),Workshop,Yes,,,Irish language; Gaeilge; Indonesian;  delexicalised parsing models;,Computer Science > Machine translating,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23601,26 Jul 2019 11:08 by  Thomas Murtagh. Last Modified 30 Jul 2019 10:25,"Judge, John and Lynn, Teresa and Ward, Monica and Ó Raghallaigh, Brian, (eds.)Proceedings of the First Celtic Language Technology Workshop..  Association for Computational Linguistics and Dublin City University.",Association for Computational Linguistics and Dublin City University,http://dx.doi.org/10.3115/v1/W14-4606,© 2014 The Authors. Creative Commons Attribution 4.0 International Licence,Science Foundation Ireland (Grant 12/CE/I2267) as part of the CNGL (www.cngl.ie) at Dublin City University,,,
Tomas Ward,Synthetic-Neuroscore: using a neuro-AI interface for evaluating generative adversarial networks.,"Wang, Zhengwei, She, Qi, Smeaton, Alan F., Ward, Tomás E., Healy, Graham","Neurocomputing, 405 . pp. 26-36",2020,,0925-2312,Article (Published),,Yes,,,Neuroscore; Generative adversarial networks; Neuro-AI interface; Brain-computer interface,Biological Sciences > Neuroscience. Computer Science > Artificial intelligence. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24650,18 Jun 2020 15:31 by  Graham Healy. Last Modified 18 Jun 2020 15:31,,Elsevier,http://dx.doi.org/10.1016/j.neucom.2020.04.069,© 2020 Elsevier,This work is funded as part of the Insight Centre for Data Analytics which is supported by Science Foundation Ireland under Grant Number SFI/12/RC/2289.,,,
Andy Way,A tool for facilitating OCR postediting in historical documents.,"Poncelas, Alberto, Aboomar, Mohammad, Buts, Jan, Hadley, James, Way, Andy","Workshop on Language Technologies for Historical and Ancient Languages, LT4HALA (2020), 12 May 2020, Marseille, France. (In Press)",2020,,,Conference or Workshop Item (Paper),Workshop,Yes,,,,Computer Science > Digital electronics,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24441,11 May 2020 15:11 by  Alberto Poncelas. Last Modified 11 May 2020 15:11,"Sprugnoli, Rachele and Passarotti, Marco, (eds.)Proceedings of the Workshop on Language Technologies for Historical and Ancient Languages..  LREC.",LREC,https://lrec2020.lrec-conf.org/media/proceedings/Workshops/Books/LT4HALAbook.pdf,© 2020 The Authors,"Irish Research Council’s COALESCE scheme (COALESCE/2019/117), SFI Research Centres Programme (Grant 13/RC/2106)","Colocated with LREC 2020 Workshop
Language Resources and Evaluation Conference
Due to the COVID-19 pandemic, the workshop will not take place. However, the proceedings are published online.",,
Andy Way,Combining SMT and NMT back-translated data for efficient NMT.,"Poncelas, Alberto, Popović, Maja, Shterionov, Dimitar, Maillette de Buy Wenniger, Gideon, Way, Andy","Recent Advances in Natural Language Processing (RANLP 2019), 2-4 Sept 2019, Varna, Bulgaria.",2019,,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Computational linguistics. Computer Science > Machine translating. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24272,11 Mar 2020 10:14 by  Alberto Poncelas. Last Modified 25 May 2020 16:09,Proceedings of the International Conference on Recent Advances in Natural Language Processing (RANLP 2019)..  INCOMA Ltd.,INCOMA Ltd,http://dx.doi.org/10.26615/978-954-452-056-4_107,© 2019 the Authors,"SFI Research Centres Programme (Grant 13/RC/2106), European Regional Development Fund, European Regional Development Fund, European Union’s Horizon 2020 research and innovation programme under the Marie Skłodowska-Curie grant agreement No 713567.",,,
Andy Way,Multi-level structured self-attentions for distantly supervised relation extraction.,"Du, Jinhua, Han, Jingguang, Way, Andy, Wan, Dadong","2018 Conference on Empirical Methods in Natural Language Processing, 31 Oct - 4 Nov 2018, Brussels, Belgium.",2018,,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine translating,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,,23354,24 May 2019 15:11 by  Thomas Murtagh. Last Modified 24 May 2019 15:11,Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing..  Association for Computational Linguistics (ACL).,Association for Computational Linguistics (ACL),https://www.aclweb.org/anthology/D18-1245,© 2018 Association for Computational Linguistics (ACL),"ADAPT Centre for Digital Content Technology, funded under the SFI Research Centres Programme (Grant 13/RC/2106), and by SFI Industry Fellowship Programme 2016 (Grant 16/IFB/4490), and is supported by Accenture Labs Dublin.",,,
Andy Way,The ADAPT system description for the IWSLT 2018 Basque to English translation task.,"Poncelas, Alberto, Way, Andy, Sarasola, Kepa","IWSLT 2018 - 15th International Workshop on Spoken Language Translation, 29-30 Oct 2018, Bruges, Belgium.",2018,,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine translating,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23199,24 Apr 2019 12:26 by  Thomas Murtagh. Last Modified 05 Nov 2019 09:36,"Turchi, Marco and Niehues, Jan and Frederico, Marcello, (eds.)Proceedings of the 15th International Workshop on Spoken Language Translation..  IWSLT.",IWSLT,https://workshop2018.iwslt.org/downloads/Proceedings_IWSLT_2018.pdf,© 2018 the Authors,"TADEEP project (Spanish Ministry of Economy and Competitiveness TIN2015-70214-P, with FEDER funding), ADAPT Centre for Digital Content Technology which is funded under the SFI Research Centres Programme (Grant 13/RC/2106) and is co-funded under the European Regional Development Fund",,,
Andy Way,Identifying temporality of word senses based on minimum cuts.,"Hasanuzzaman, Mohammed, Dias, Gaël, Ferrari, Stéphane, Mathet, Yann, Way, Andy","CoNLL 2016:The SIGNLL Conference on Computational Natural Language Learning, 11-12 Aug 2016, Berlin, Germany",2016,978-1-945626-19-7,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine learning,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23235,02 May 2019 12:30 by  Thomas Murtagh. Last Modified 24 May 2019 08:44,Proceedings of CoNLL 2016..  Association for Computational Linguistics. ISBN 978-1-945626-19-7,Association for Computational Linguistics,https://doi.org/10.18653/v1/K16-2,© 2016 ACM,ADAPT Centre for Digital Content Technology is funded under the SFI Research Centres Programme (Grant 13/RC/2106) and is co-funded under the European Regional Development Fund.,,,
Andy Way,A Novel approach to dropped pronoun translation.,"Wang, Longyue, Tu, Zhaopeng, Zhang, Xiaojun, Li, Hang, Way, Andy, Liu, Qun","15th Annual Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies (NAACL HLT 2016), 12-17 June 2016, San Diego, CA, USA.",2016,,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine translating,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23215,01 May 2019 14:53 by  Thomas Murtagh. Last Modified 01 May 2019 14:53,Proceedings of the 2016 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies..  Association for Computational Linguistics.,Association for Computational Linguistics,http://dx.doi.org/10.18653/v1/N16-1113,© 2016 ACL,"Science Foundation of Ireland (SFI) ADAPT project (Grant No.:13/RC/2106), DCU-Huawei Joint Project (Grant No.:201504032- A (DCU), YB2015090061 (Huawei)",,,
Andy Way,Automatic construction of discourse corpora for dialogue translation.,"Wang, Longyue, Zhang, Xiaojun, Tu, Zhaopeng, Way, Andy, Liu, Qun","10th Language Resources and Evaluation Conference, 23-28 May 2016, Portorož, Slovenia",2016,978-2-9517408-9-1,,Conference or Workshop Item (Paper),Conference,Yes,,,Discourse Corpus; Dialogue; Machine Translation; Information Retrieval; Movie Script; Movie Subtitle,Computer Science > Machine translating,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23217,01 May 2019 15:31 by  Thomas Murtagh. Last Modified 01 May 2019 15:31,"Calzolari, Nicoletta and Choukri, Khalid and Declerck, Thierry and Goggi, Sara, (eds.)Proceedings of the Tenth Language Resources and Evaluation Conference..  European Language Resources Association. ISBN 978-2-9517408-9-1",European Language Resources Association,http://www.lrec-conf.org/proceedings/lrec2016/pdf/790_Paper.pdf,© 2016 ELRA,"Science Foundation of Ireland (SFI) ADAPT project (Grant No.:13/RC/2106), DCU-Huawei Joint Project (Grant No.:201504032-A (DCU), YB2015090061 (Huawei), Open Projects Program of National Laboratory of Pattern Recognition (Grant 201407353), Open Projects Program of Centre of Translation of GDUFS (Grant CTS201501)",,1.0,
Murat YILMAZ,A personality type measurement game considered for software development organizations [in Turkish].,"Yilmaz, Murat, O'Connor, Rory","7th Turkish National Software Engineering Symposium (UYMS 2013), 25-28 Sept 2013, Izmir, Turkey.",2013,,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Software engineering,Research Initiatives and Centres > Lero: The Irish Software Engineering Research Centre. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,19609,23 Oct 2013 14:58 by  Rory O'connor. Last Modified 23 Oct 2019 13:18,,,,,,This paper is in Turkish,,
